HERE_segID,direction,alpha,beta,r2
2_10403,0,0.9899999999999999,3.305648552917607,-25.60361874077891
2_10403,1,0.9899999999999999,1.7223723689327863,-18.267944768989437
2_10405,0,0.9899999999999999,2.4014760538338664,-25.914605653892348
2_10405,1,0.9899999999999999,1.4480457813077026,-21.85804677520715
2_10436,0,0.25917429026018396,2.2232385121234883,0.6130835699491992
2_10436,1,0.9899999999999999,1.0000000000000002,-11.64024146399737
2_10444,0,0.9899999999999999,1.6507787071578806,-16.787075780693723
2_10444,1,0.9899999999999999,1.0000000000000002,-820.1562956060058
2_10445,0,0.9899999999999999,1.7972109357506139,-23.82878154744503
2_10445,1,0.9899999999999999,1.614853151255625,-41.6657110018232
2_10462,0,0.03640951192291373,4.112605315562894,0.21997743402067316
2_10462,1,0.9899999999999999,1.2624365099382113,-429.1958640073839
2_10471,0,0.14520012724277515,1.9720516476485423,
2_10471,1,0.9899999999999999,1.0000000000000002,-7.542801770323715
2_10475,0,0.98999999999999,1.1845494028381862,-1.3462674407370527
2_10475,1,0.9899999999999989,1.29690952977684,-0.4607534570655625
2_10496,0,0.9373700983511423,2.0626614014502085,0.47461257842325477
2_10496,1,0.9899999999999999,1.673167403498744,-1.0797398638587623
2_10497,0,0.9899999999999999,2.284641714104986,0.45350382696049274
2_10497,1,0.9899999999999999,1.9345342887842685,-1.5269427049717743
2_10499,0,0.9899999999999999,2.4405464014540774,0.02401708624339305
2_10499,1,0.9899999999999999,2.0407086434718584,-0.19027178201736095
2_10529,0,0.9899999999999999,1.056484428940821,-168.52474528242558
2_10529,1,0.9899999999999999,1.0000000000001583,-153.00935023432945
2_10554,0,0.9899999999999999,2.440603084803141,-20.5491648430623
2_10554,1,0.9899999999999999,1.0000000000000002,-2056.3533438404843
2_10555,0,0.9899999999999999,9.999999999999952,-91.32280275015448
2_10555,1,0.9899999999999999,2.2806660856447496,-10047.37785022477
2_10556,0,0.9899999999999999,3.5610951599830982,-15.73741584373061
2_10556,1,0.9899999999999999,1.8863052460232677,-66.27145206467193
2_10559,0,0.9899999999999999,1.4599417290187051,-10.908055626937212
2_10559,1,0.9899999999999999,1.0000000000000002,-9.864817710727852
2_10561,0,0.9899999999999999,1.0991282586130726,-13.29084505683715
2_10561,1,0.9899999999999999,1.0000000000000002,-14.646124505965012
2_10582,0,0.010000000000000002,3.550867181285858,-1.9193837186135299
2_10582,1,0.010000000000000021,8.130361852329282,-0.20328239962570427
