HERE_segID,direction,alpha,beta,r2
3_38219,0,2.245441361298462,4.171572999462074,0.3646478141458237
3_38219,1,9.999999999999998,6.409150275924514,0.32858926800464594
3_4171,0,9.65977522069327,5.448225740444871,0.2479103834983769
3_4171,1,7.207050912831611,4.983227912745131,0.2719125069057968
3_4205,0,9.999999999999998,5.475936775536262,0.13631433804366477
3_4205,1,5.769262596031562,4.759360706732605,0.5643770428761145
3_5197,0,4.692857316099862,7.915959739843469,0.19844988821249543
3_5197,1,9.999999999999998,8.989354604451309,0.1571454098130861
3_54959,0,2.26113451925063,3.8534220953857714,0.2825644488282256
3_54959,1,0.25739035069527494,1.0000000000000209,0.42444884088916146
3_5780,0,9.999999999999998,5.975433535227733,0.21579306817958144
3_5780,1,9.999999999999998,6.663208317437794,0.21116585944480593
3_7144,0,0.6616952707040963,2.8816871863840694,0.35005651432351736
3_7144,1,0.1630172517406062,1.3865432934881299,0.775010247684276
3_7144+,0,0.484737686137557,2.0860339003276134,0.34152827021385335
3_7144+,1,0.7091172626428541,1.627427444327378,0.5311393587328677
3_7144-,0,0.575014168762779,2.522024732612955,0.27733082841068246
3_7144-,1,0.7788526150311395,2.364572195112064,0.5114861853133881
3_7146,0,0.484737686137557,2.0860339003276134,0.34152827021385335
3_7146,1,0.7091172626428541,1.627427444327378,0.5311393587328677
3_7160,0,9.999999999999998,6.062047011355239,0.2396487494598446
3_7160,1,6.1524707121504365,4.751149085598,0.4567035935808066
3_7162+,0,5.709808018038823,4.861409399724624,0.30853337340434306
3_7162+,1,3.728521692583629,3.8265375348153987,0.10950133878918844
3_7162-,0,9.999999999999998,6.062047011355239,0.2396487494598446
3_7162-,1,6.1524707121504365,4.751149085598,0.4567035935808066
3_7164+,0,1.6131068892649731,3.374621621876571,0.6188901874813756
3_7164+,1,1.3008411603044667,3.2117344011309044,0.621798059151036
3_7164-,0,4.12615004123019,5.039009475943569,0.3500192438042744
3_7164-,1,1.110614030068388,1.8952860846835404,0.6541975467206913
3_7166,0,1.6131068892649731,3.374621621876571,0.6188901874813756
3_7166,1,1.3008411603044667,3.2117344011309044,0.621798059151036
